,date_time,location,name,text
135,Tue Sep 29 02:26:51 +0000 2015,New York,Lincoln Chafee,RT @JulieRFoster: This snapchat story just made my day @HillaryClinton #PantsuitGoals http://t.co/Blt882rWXZ
136,Tue Sep 29 01:49:25 +0000 2015,New York,Lincoln Chafee,"RT @WValderrama: Have you guys met my new friend #HillaryClinton?.. She's running for president.. 😜 
Inspired by our conversation.. 😌 http:…"
137,Tue Sep 29 00:51:20 +0000 2015,New York,Lincoln Chafee,El Papa Francisco tiene razón. Todos los países...tienen la responsabilidad de prevenir el cambio climático. http://t.co/SIBx6iUX7l
138,Tue Sep 29 00:35:57 +0000 2015,New York,Lincoln Chafee,"During a Facebook Q&amp;A, Hillary responded to Jeb's claim that Democrats appeal to African Americans with ""free stuff"": http://t.co/o7YVMNXkru"
139,Mon Sep 28 23:17:07 +0000 2015,New York,Lincoln Chafee,"RT @greglouganis: At the Hillary Clinton campaign offices with hubby, @johnnychaillot thanks @MichelleWKwan! Thanks for #Sushi! http://t.co…"
140,Mon Sep 28 21:02:15 +0000 2015,New York,Lincoln Chafee,Wishing all Korean Americans and their families a safe and happy Chuseok!
141,Mon Sep 28 20:27:59 +0000 2015,New York,Lincoln Chafee,"RT @TheBriefing2016: Trump released his tax plan today, and just like other GOP candidates, it's a yuuuuge tax break for billionaires. http…"
142,Mon Sep 28 19:33:02 +0000 2015,New York,Lincoln Chafee,".@NASA has found water on Mars. There is no limit to what we can discover when we explore, ask questions, and listen to science."
143,Mon Sep 28 17:21:35 +0000 2015,New York,Lincoln Chafee,Hillary’s hosting a Facebook Q&amp;A this afternoon! Leave your question here: http://t.co/cTFL9SCLYb http://t.co/BYO5Jy6Lom
144,Mon Sep 28 12:26:25 +0000 2015,New York,Lincoln Chafee,"Families are working harder than ever, but paychecks have barely budged. That needs to change.
https://t.co/pb6Yk6Rhir"
145,Mon Sep 28 01:31:08 +0000 2015,New York,Lincoln Chafee,Powerful to see @POTUS sit with federal prisoners for this important conversation. It's time to end mass incarceration. #VICEonHBO
146,Sun Sep 27 22:40:03 +0000 2015,New York,Lincoln Chafee,"Women’s rights are human rights, period. Join Women for Hillary today.
https://t.co/zewoKIuRAJ"
147,Sun Sep 27 19:00:59 +0000 2015,New York,Lincoln Chafee,.@amyschumer and @lenadunham stopped by HQ: http://t.co/GCydyb9Mfd
148,Sun Sep 27 17:05:37 +0000 2015,New York,Lincoln Chafee,"You should not have to be the grandchild of a former president to know that you can make it in America.
https://t.co/4BzHfPli2x"
149,Sun Sep 27 16:22:05 +0000 2015,New York,Lincoln Chafee,RT @HillaryforSC: We had a busy week welcoming @AnniseParker @finneyk &amp; @GovHowardDean to SC! Catch up if you missed it here http://t.co/Kz…
150,Sun Sep 27 15:12:52 +0000 2015,New York,Lincoln Chafee,Hillary on her vision for the country: http://t.co/rspNDPyGc8
151,Sun Sep 27 14:35:54 +0000 2015,New York,Lincoln Chafee,"Hillary is on @meetthepress this morning, check your local listings and tune in. http://t.co/lCGmRuU2uo"
152,Sun Sep 27 11:39:30 +0000 2015,New York,Lincoln Chafee,Xi hosting a meeting on women's rights at the UN while persecuting feminists? Shameless. #Freethe20 http://t.co/hRkaaAnMMp -H
153,Sun Sep 27 00:54:02 +0000 2015,New York,Lincoln Chafee,"If the medicine you need costs less in Canada, you should be able to buy it from Canada—or any country that meets our safety standards."
154,Sun Sep 27 00:27:47 +0000 2015,New York,Lincoln Chafee,RT @ChelseaClinton: Last book for Charlotte before bedtime on her first birthday! Marc &amp; I are so grateful every day to be her parents. htt…
