,date_time,location,name,text
89,Wed Sep 16 22:01:00 +0000 2015,Rhode Island,Hillary Rodham Clinton,.@GOP predicate American greatness on mostly violent posturing and offer no vision  @Brookings_FP   @will_mccants   http://t.co/rP2muVfw3s
90,Wed Sep 16 19:01:14 +0000 2015,Rhode Island,Hillary Rodham Clinton,.@Pontifex very right about the tip of the iceberg. We must reorient global order towards  #ProsperitythroughPeace   http://t.co/XY7XlPdtSZ
91,Wed Sep 16 16:00:29 +0000 2015,Rhode Island,Hillary Rodham Clinton,Tea Party Repubs trying to kill Ex-Im Bank are killing good American jobs.  Bank's been helping companies since 1934. http://t.co/huGWRaxi57
92,Wed Sep 16 13:00:44 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Invading Iraq empowered ISIS, increasing violence &amp; sectarian tensions in climate of poor governance #GetGrounded  http://t.co/BTgcRaSllh"
93,Wed Sep 16 00:21:48 +0000 2015,Rhode Island,Hillary Rodham Clinton,Thank you for a lively conversation @plaistowdems tonight in NH! #chafee2016 #nhpolitics Prosperity through Peace. http://t.co/P6LKXEBtKB
94,Wed Sep 16 00:11:18 +0000 2015,Rhode Island,Hillary Rodham Clinton,RT @Geoz137: @LincolnChafee Glad to have seen you at @colbysawyer Collge in New Hampshire.
95,Tue Sep 15 22:00:35 +0000 2015,Rhode Island,Hillary Rodham Clinton,.@steven_pifer  at  @Brookings_FP  notes that Repubs are empty on addressing Russia. Tasty carrot &gt; posturing stick.  http://t.co/DerrY2CRB1
96,Tue Sep 15 19:53:03 +0000 2015,Rhode Island,Hillary Rodham Clinton,"At Colby-Sawyer College Town Hall Meeting in New London, NH http://t.co/PSi7sqy2p5"
97,Tue Sep 15 19:00:50 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Learn more about my campaign at a Town Hall Meeting today at 4 pm @colbysawyer in New London, NH #Chafee2016 #ProsperitythroughPeace"
98,Tue Sep 15 16:00:14 +0000 2015,Rhode Island,Hillary Rodham Clinton,"A lack of transparency plus a paradigm of dire national security produces tragic results, in Egypt and everywhere  http://t.co/qzeQcUwdMv"
99,Tue Sep 15 15:40:19 +0000 2015,Rhode Island,Hillary Rodham Clinton,"RT @iowademocrats: We're excited to announce the speakers for the 2015 JJ Dinner: @LincolnChafee, @HillaryClinton, @MartinOMalley and @Bern…"
100,Tue Sep 15 15:23:31 +0000 2015,Rhode Island,Hillary Rodham Clinton,RT @RichRubinoPOL: Is Lincoln Chafee the Heir Apparent to Ron Paul on Foreign Policy? http://t.co/ALYjkN9egD
101,Tue Sep 15 13:00:24 +0000 2015,Rhode Island,Hillary Rodham Clinton,Putin coming to UN.  So far he's rebuffed in meeting @POTUS.  Why?  Let's listen re: Syria and ISIS #GetGrounded  http://t.co/OA2snYMPyB
102,Mon Sep 14 21:01:00 +0000 2015,Rhode Island,Hillary Rodham Clinton,In New Hampshire today for the meeting of the @rcdcnh Rockingham Democrats tonight at 7PM in Exeter. #chafee2016
103,Mon Sep 14 16:01:12 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Cheney foolishly against #irandeal. He was wrong about Iraq, he's wrong now. #Prosperity through Peace  #chafee2016 http://t.co/VmCkfzQOds"
104,Mon Sep 14 13:00:08 +0000 2015,Rhode Island,Hillary Rodham Clinton,Think the Middle East is complicated?  Some Iranians say US is secretly protecting ISIS.  #GetGrounded #chafee2016 http://t.co/38WmZQ6aQe
105,Sun Sep 13 13:49:36 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Important time in our history. As nations evolve we should avoid ""preachments of the west…laced with hypocrisy."" http://t.co/QeugJ0xjfy"
106,Sat Sep 12 20:00:22 +0000 2015,Rhode Island,Hillary Rodham Clinton,"In Haverhill, MA for the 350th Anniversary Celebration at Riverside Park."
107,Sat Sep 12 18:00:36 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Looking forward to meeting you this afternoon @rcdcnh booth during the Old Home Days Celebration in Sandown, NH #chafee2016  #nhpolitics"
108,Sat Sep 12 16:00:32 +0000 2015,Rhode Island,Hillary Rodham Clinton,"See you at the Chester, NH Old Town Days Fair this afternoon. #chafee2016"
109,Sat Sep 12 14:11:27 +0000 2015,Rhode Island,Hillary Rodham Clinton,Oklahoma death row case shows flaws of capital punishment. Past due to join civilized nations and end it.#GetGrounded http://t.co/ihujwJUBbX
110,Fri Sep 11 22:57:29 +0000 2015,Rhode Island,Hillary Rodham Clinton,RT @WMUR9_Politics: WATCH LIVE: Conversation with the Candidate w/ @LincolnChafee - http://t.co/7G4wW2NMa8 #wmur2016 #fitn #nhpolitics http…
111,Fri Sep 11 22:57:27 +0000 2015,Rhode Island,Hillary Rodham Clinton,RT @WMUR9: WATCH LIVE: Conversation with the Candidate w/ @LincolnChafee - http://t.co/JRsbmK1Dx6 #wmur2016 #fitn #nhpolitics http://t.co/C…
112,Fri Sep 11 22:00:09 +0000 2015,Rhode Island,Hillary Rodham Clinton,"To learn more about my campaign, watch WMUR-TV's Conversation with the Candidate tonight at 7pm ET or view it on http://t.co/7LjlIP7y5O"
113,Fri Sep 11 19:00:13 +0000 2015,Rhode Island,Hillary Rodham Clinton,Baltimore settles $6.4 million with Freddie Gray family. High costs all around from irresponsibility and injustice.  http://t.co/dADhYjLatV
114,Thu Sep 10 22:16:23 +0000 2015,Rhode Island,Hillary Rodham Clinton,Thank you @CarrollDems for your warm reception tonight in Ossipee! #chafee2016. #nhpolitics http://t.co/Fx8mwRL7xu
115,Thu Sep 10 22:00:17 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Looking forward to meeting @CarrollDems tonight in Ossipee, NH #NHpolitics #Chafee2016"
116,Thu Sep 10 19:00:22 +0000 2015,Rhode Island,Hillary Rodham Clinton,".@POTUS must lead the charge to strengthen intl. institutions &amp; address world humanitarian crises, and end Syrian war http://t.co/VWzT1Alt34"
117,Thu Sep 10 18:09:54 +0000 2015,Rhode Island,Hillary Rodham Clinton,Meeting with the Keene Sentinel Editorial Board today in NH. #chafee2016 #nhpolitics http://t.co/sEBnBICqBO
